,index,Name,RAJ (deg),DECJ (deg),P (ms),Edot,Discovery,Characteristics,Refs,Catalog source
0,1,PSR J0007+7303,1.75,73.05,315.87,4.5e+35,G,q,"1,6,14,23,38,45",4FGL J0007.0+7303
1,20,PSR J0357+3205,59.47,32.09,444.1,5.9e+33,GU,q,"6,14,23,45",4FGL J0357.8+3204
2,21,PSR J0359+5414,59.86,54.25,79.43,1.3e+36,GU,q,"P201,64",4FGL J0359.4+5414
3,28,PSR J0554+3107,88.52,31.13,464.96,5.6e+34,GU,q,"P201,51",4FGL J0554.1+3107
4,34,PSR J0622+3749,95.54,37.82,333.21,2.7e+34,GU,q,"32,45",4FGL J0622.2+3749
5,37,PSR J0633+0632,98.43,6.54,297.4,1.2e+35,GU,q,"6,14,23,45",4FGL J0633.7+0632
6,44,PSR J0734-1559,113.69,-15.99,155.14,1.3e+35,GU,q,"P8,45",4FGL J0734.7-1559
7,48,PSR J0744-2525,116.02,-25.42,92.01,–,GU,q,92,4FGL J0744.0-2525
8,50,PSR J0802-5613,120.6,-56.22,274.09,–,GU,q,92,4FGL J0802.1-5612
9,62,PSR J1023-5746,155.76,-57.77,111.47,1.1e+37,GU,q,"21,45",4FGL J1023.0-5745
10,67,PSR J1044-5737,161.14,-57.62,139.03,8e+35,GU,q,"21,45",4FGL J1044.4-5737
11,72,PSR J1057-5851,164.29,-58.85,620.35,1.7e+34,GU,q,"P201,64",4FGL J1056.9-5852
12,73,PSR J1105-6037,166.25,-60.62,194.93,1.2e+35,GU,q,"P201,64",4FGL J1104.9-6037
13,75,PSR J1111-6039,167.95,-60.66,106.67,–,GU,q,P25,4FGL J1111.8-6039
14,82,PSR J1135-6055,173.78,-60.93,114.49,2.1e+36,GU,q,"P11,45",4FGL J1135.2-6055
15,84,PSR J1139-6247,174.82,-62.79,120.43,–,GU,q,92,4FGL J1139.2-6247
16,87,PSR J1203-6242,180.98,-62.71,100.64,–,GU,q,92,4FGL J1203.9-6242
17,89,PSR J1208-6238,182.06,-62.63,440.52,1.5e+36,GU,q,"P201,63",4FGL J1208.2-6237
18,94,PSR J1231-5113,187.9,-51.23,206.44,–,GU,q,92,4FGL J1231.6-5116
19,95,PSR J1231-6511,187.93,-65.2,247.37,–,GU,q,92,4FGL J1231.6-6511
20,104,PSR J1350-6225,207.68,-62.43,138.16,1.3e+35,GU,q,"P201,64",4FGL J1350.6-6224
21,106,PSR J1358-6025,209.61,-60.43,60.52,–,GU,q,92,4FGL J1358.3-6026
22,109,PSR J1413-6205,213.37,-62.09,109.74,8.3e+35,GU,q,"21,45",4FGL J1413.5-6205
23,110,PSR J1418-6058,214.68,-60.97,110.57,5e+36,GU,q,"6,14,23,45",4FGL J1418.7-6057
24,112,PSR J1422-6138,215.62,-61.64,340.97,9.6e+34,GU,q,"P201,51",4FGL J1422.5-6137
25,113,PSR J1429-5911,217.49,-59.19,115.84,7.7e+35,GU,q,"21,45",4FGL J1429.9-5911
26,116,PSR J1447-5757,221.87,-57.96,158.73,–,GU,q,92,4FGL J1447.4-5757
27,123,PSR J1522-5735,230.52,-57.58,102.14,1.2e+36,GU,q,"P201,51",4FGL J1521.9-5735
28,124,PSR J1528-5838,232.1,-58.63,355.75,2.2e+34,GU,q,"P201,64",4FGL J1528.4-5838
29,134,PSR J1615-5137,243.82,-51.62,179.28,7.3e+34,GU,q,81,4FGL J1615.3-5136
30,135,PSR J1620-4927,245.17,-49.46,171.93,8.2e+34,GU,q,"32,45",4FGL J1620.7-4927
31,137,PSR J1623-5005,245.77,-50.09,85.11,2.7e+35,GU,q,"P201,64",4FGL J1623.0-5004
32,138,PSR J1624-4041,246.04,-40.69,167.86,4e+34,GU,q,"P201,64",4FGL J1624.1-4042
33,143,PSR J1641-5317,250.32,-53.3,175.11,2.7e+34,GU,q,74,4FGL J1641.2-5317
34,148,PSR J1650-4601,252.58,-46.02,127.06,2.9e+35,GU,q,"P201,64",4FGL J1650.3-4600
35,155,PSR J1714-3830,258.58,-38.51,84.14,–,GU,q,P25,4FGL J1714.4-3830
36,162,PSR J1736-3422,264.05,-34.37,346.93,–,GU,q,92,4FGL J1736.1-3422
37,167,PSR J1742-3321,265.55,-33.36,143.31,–,GU,q,92,4FGL J1742.3-3318
38,171,PSR J1746-3239,266.73,-32.67,199.54,3.3e+34,GU,q,"32,45",4FGL J1746.8-3239
39,174,PSR J1748-2815,267.13,-28.25,100.16,–,GU,q,92,
40,177,PSR J1803-2149,270.79,-21.82,106.33,6.4e+35,GU,q,"32,45",4FGL J1803.1-2148
41,179,PSR J1809-2332,272.46,-23.54,146.79,4.3e+35,G,q,"6,14,23,45",4FGL J1809.8-2332
42,182,PSR J1813-1246,273.35,-12.77,48.07,6.2e+36,GU,q,"6,14,23,45",4FGL J1813.4-1246
43,185,PSR J1817-1742,274.29,-17.7,149.74,2.4e+35,GU,q,74,4FGL J1817.1-1742
44,191,PSR J1827-1446,276.85,-14.77,499.19,1.4e+34,GU,q,"P201,64",4FGL J1827.4-1445
45,199,PSR J1836+5925,279.06,59.42,173.26,1.1e+34,G,q,"6,14,16,23,45",4FGL J1836.2+5925
46,201,PSR J1838-0537,279.73,-5.62,145.71,5.9e+36,GU,q,"40,45",4FGL J1838.9-0537
47,204,PSR J1844-0346,281.14,-3.78,112.85,4.3e+36,GU,q,"P201,64",4FGL J1844.4-0345
48,206,PSR J1846+0919,281.61,9.33,225.55,3.4e+34,GU,q,"21,45",4FGL J1846.3+0919
49,215,PSR J1906+0722,286.63,7.38,111.48,1e+36,GU,q,"P201,58",4FGL J1906.4+0723
50,225,PSR J1932+1916,293.08,19.28,208.21,4.1e+35,GU,q,"P201,51",4FGL J1932.3+1916
51,232,PSR J1954+2836,298.58,28.6,92.71,1e+36,GU,q,"21,45",4FGL J1954.3+2836
52,234,PSR J1957+5033,299.41,50.56,374.81,5.3e+33,GU,q,"21,45",4FGL J1957.6+5033
53,235,PSR J1958+2846,299.67,28.76,290.39,3.4e+35,GU,q,"6,14,23,45",4FGL J1958.7+2846
54,241,PSR J2017+3625,304.48,36.42,166.75,1.2e+34,GU,q,"P201,64",4FGL J2017.9+3625
55,243,PSR J2021+4026,305.38,40.45,265.32,1.2e+35,G,q,"6,14,23,33,45",4FGL J2021.5+4026
56,245,PSR J2028+3332,307.08,33.53,176.71,3.5e+34,GU,q,"32,45",4FGL J2028.3+3331
57,247,PSR J2030+4415,307.72,44.26,227.07,2.2e+34,GU,q,"32,45",4FGL J2030.9+4416
58,258,PSR J2055+2539,313.95,25.67,319.56,4.9e+33,GU,q,"21,45",4FGL J2055.8+2540
59,259,PSR J2111+4606,317.85,46.11,157.83,1.4e+36,GU,q,"32,45",4FGL J2111.4+4606
60,263,PSR J2139+4716,324.98,47.27,282.85,3.1e+33,GU,q,"32,45",4FGL J2140.0+4716
61,270,PSR J2238+5903,339.62,59.06,162.73,8.9e+35,GU,q,"6,14,23",4FGL J2238.5+5903
